id_utilizator,username,parola,email,rol,created_at
1,admin,$2b$12$ire9vptGme.PAeWrJNGyEeuoC2u1pGVTyBBMKAlgkoNrwDDJxEKmy,admin@clinica.ro,admin,2019-12-25 16:51:44
2,dr_ardelean_0,$2b$12$H4Ry1aRo7dw1vSD3NxBxR.VFB.MotNJTipJuRJ/9AiSa82m..CUXG,dr.ardelean.fiodor_121@clinica.ro,medic,2025-12-18 05:08:53
3,dr_marin_1,$2b$12$0CFjRQmFmxasQZOFtsKnVef40ZblSe4SRTtRBh34xIkboN8A4H4s.,dr.marin.sabina_773@clinica.ro,medic,2025-11-23 17:07:51
4,dr_ardelean_2,$2b$12$yvPFVwS3DNulLE0Ke.aP4.v4bFL2u37vhup7Tej8s2f8ZH96k5aO2,dr.ardelean.vlădelina_718@clinica.ro,medic,2023-08-06 08:46:49
5,dr_mocanu_3,$2b$12$/pp7o12xZ13LCvKyF8Fu1OXarZEgxY2vinkk1lInSwxKorldFTif6,dr.mocanu.narcisa_890@clinica.ro,medic,2024-12-08 20:54:50
6,dr_gheorghiu_4,$2b$12$FJGoVV/Ev9bntPMTt5IXsu01tRwHoHUV5h6s5gS5bAxA6SrUIMTve,dr.gheorghiu.tincuța_22@clinica.ro,medic,2025-06-25 06:04:00
7,dr_nemeș_5,$2b$12$jXT7K8SCZD6FgOCdndY2suDFGhSKfVddr1p91wMuxAg24yYo3GMVq,dr.nemeș.ariana_120@clinica.ro,medic,2024-02-15 04:42:39
8,dr_tudor_6,$2b$12$8EEUo2jRuvmPRaAcUEQiPurYvYGcH3caQo2Yyha3.i0OVzqAy.0Om,dr.tudor.gherghina_881@clinica.ro,medic,2026-04-09 14:30:59
9,dr_albu_7,$2b$12$VrTZn9vTqUsSgFCpte98SemRMgZzK1CbyZj3sgV7/2ZmT0aA5teKW,dr.albu.emil_825@clinica.ro,medic,2023-11-08 05:46:40
10,dr_oprea_8,$2b$12$J3rU207..bMbeCGhAPajJOrH8aIK.1.PDvt3VMAjN/0E3HVVc2l.2,dr.oprea.avram_201@clinica.ro,medic,2023-08-21 13:26:08
11,dr_georgescu_9,$2b$12$yC7zgO0.tOsaH7sVYZD9hulz.EEtjtKxUPyWygoFg.J4Dm5d2I1Fi,dr.georgescu.melania_713@clinica.ro,medic,2023-09-12 12:50:51
12,dr_florea_10,$2b$12$CtOPSJkELU2bA20rPaJc../yn7M0/IDmt4Qg1wMkx7kc6Er9rjlFO,dr.florea.cătălin_236@clinica.ro,medic,2025-10-06 23:43:07
13,dr_diaconu_11,$2b$12$mPJB5y4VWRca/GlOp4s12OrZx0re5dSfEfkkS.jw4DIYOEv1pZLFW,dr.diaconu.lelia_170@clinica.ro,medic,2025-10-31 12:52:17
14,dr_mazilescu_12,$2b$12$bDMSazXVF0z1Pu8EVLj39u9IgLj.YIfDAQpZI4nku4V/ttNprzgUu,dr.mazilescu.marina_122@clinica.ro,medic,2025-06-05 20:02:45
15,dr_stoica_13,$2b$12$b/ocoiaH7pMEilTCQS9nTufVODpRLtFKw3o7k7TdRu9dYxTeSFd2q,dr.stoica.aida_924@clinica.ro,medic,2026-04-02 19:18:44
16,dr_ioniță_14,$2b$12$gXCdail6rcYcsZ2XCNmz9Os/qDJFCeFjq1ZCHjsLJAhVAheJgbOvW,dr.ioniță.sorin_551@clinica.ro,medic,2024-11-02 01:33:33
17,dr_stănescu_15,$2b$12$o69poXcnwRRa4L5MdkVpy.iwfoTxXBOrs80Jq6WFYXMA8lYYUfNMe,dr.stănescu.zenobia_657@clinica.ro,medic,2025-09-21 09:57:07
18,dr_popescu_16,$2b$12$tKIEIspO5iryNkHGkBWg8eLL2SzUrAEVema8hKjyVCSl5Cr.4zK12,dr.popescu.caterina_878@clinica.ro,medic,2024-12-04 20:27:51
19,dr_dobre_17,$2b$12$kaYb6Qg2apCg18EVzU2ML.1mEyAw0Uw3ej1EoqFeg0KrnyhzM7y.e,dr.dobre.ernest_253@clinica.ro,medic,2024-03-11 18:38:49
20,dr_diaconu_18,$2b$12$SxfSUo4bPw4TpRqH57sxfeCAPkRn9GwTru.LBFYbqRlNupusB87YK,dr.diaconu.mirabela_898@clinica.ro,medic,2025-06-05 10:27:38
21,dr_dochioiu_19,$2b$12$OJ/M6awdXM4dhl61lfEOne56wD7w5ppfsWJnd07RA6nhWsK5dYIce,dr.dochioiu.rozalia_241@clinica.ro,medic,2024-03-05 04:27:25
22,dr_dima_20,$2b$12$M/jc4FGeBiAEo3J9ctiDweCAaDEA6cbb5pHcGfUGiJ/tojDPjdgq6,dr.dima.veniamin_96@clinica.ro,medic,2024-05-03 04:43:00
23,dr_stan_21,$2b$12$6TfXa5V4SJ6uep1X9jm1zeIllRdokTFvaMSDDozmPogj8NkY6To.a,dr.stan.florea_744@clinica.ro,medic,2023-11-22 22:42:00
24,dr_dima_22,$2b$12$K7Q5POkDiyybWvSUAO6bAucPulpZnHY1bLQeeRFi7rddC9bxHM2Xe,dr.dima.albertina_675@clinica.ro,medic,2024-02-13 09:10:10
25,dr_albu_23,$2b$12$DZ/0vbJLq0mLjVgolq6QSeLF0.BvMH.PCbDBQbSIHAn6yTQ92Y58W,dr.albu.casandra_404@clinica.ro,medic,2023-11-16 17:14:23
26,dr_nemeș_24,$2b$12$b/YjKhkyAs4L/DRO57NHBue.zyrkzc6F5XzVE1tO59MAmLzCyjXpG,dr.nemeș.lucia_978@clinica.ro,medic,2024-01-12 13:39:40
27,dr_georgescu_25,$2b$12$U5R5zlOtu9WMgUbreuz0.ONiyKqwQlI5g28L8aVzo4sNu32XTYVWG,dr.georgescu.mioara_556@clinica.ro,medic,2025-03-12 19:53:24
28,dr_gheorghiu_26,$2b$12$NW6v6LoUjAjvaPaYlvR7DuvnFT7I4Q7xFThdGlfgUGx4b38uRYX1m,dr.gheorghiu.romulus_867@clinica.ro,medic,2024-03-29 09:27:33
29,dr_tudor_27,$2b$12$srkLssWsSwzrN.uaOKfi2uf.Jv5Q0BWeYmOolV1YvfTWoRcOsUmB2,dr.tudor.simona_963@clinica.ro,medic,2025-06-30 11:46:18
30,dr_stănescu_28,$2b$12$LHEpX5XznRa10E2YKelTSuD/utxO2E6C9X7PpmOmGQl3V.6jSUkzK,dr.stănescu.fabiana_482@clinica.ro,medic,2025-01-07 15:13:11
31,dr_nemeș_29,$2b$12$UMI4vkeZk5ojzO6YiNXwUOkK8.Q2wFXDaC.9F43MFLXLnipfCO7iO,dr.nemeș.domnica_770@clinica.ro,medic,2024-11-01 09:22:14
32,dr_ardelean_30,$2b$12$P9RcIrSXkIXt9KMMehtSpuxncig60ZJqSpoSasVdHG1OWZno8k8Zu,dr.ardelean.daniel_264@clinica.ro,medic,2023-09-26 01:07:03
33,dr_dobre_31,$2b$12$D4xEtGvVkGi/61ViQgoOm.kvuGCLR2ck9zHrWIsh41iOYEa6DoSCK,dr.dobre.iulia_62@clinica.ro,medic,2023-06-26 08:41:52
34,dr_ardelean_32,$2b$12$5fpsIWZpkOcoEtYWSA4GD.BpbfpUghKuMefJgGsVfGn/mGDud6DC6,dr.ardelean.adriana_592@clinica.ro,medic,2025-11-02 02:14:02
35,dr_nistor_33,$2b$12$nZwOUSSPNn4caK279GdvWOYa7DQfNOCfd0WAP0lAe7MH8CVdDR4Fy,dr.nistor.floarea_581@clinica.ro,medic,2024-05-31 06:50:38
36,dr_manole_34,$2b$12$YAX5R9R0tF8/wA3dHyOYReYOoIafWmnNoVJ/6RjEs54EHou3IlTlq,dr.manole.teodor_909@clinica.ro,medic,2025-01-13 23:29:39
37,dr_eftimie_35,$2b$12$vTeMLViIYucC6aVFFLoIQu3Ho2vciUcBvWEs/2Y.39Gr4kmq27Tja,dr.eftimie.anatolie_479@clinica.ro,medic,2025-11-09 14:03:22
38,dr_nistor_36,$2b$12$xegs7X.xBGO1uCAxmZUfo.SbysnIqmVW8KO13BochWkVqNuaG2.F2,dr.nistor.ecaterina_165@clinica.ro,medic,2025-11-03 03:16:58
39,dr_dumitrescu_37,$2b$12$KYtY.LsfypVyoCOmy.wLCe4dJQSoTK0iWEWaXgiw2VhEDqlQ44ee2,dr.dumitrescu.teofil_789@clinica.ro,medic,2023-11-13 23:51:36
40,dr_albu_38,$2b$12$VFlhVIC67k2Rz5sJGkxeXOtfMJteGoN26BgxiXcP0YdYNGvmb9X/W,dr.albu.pompilia_157@clinica.ro,medic,2024-05-10 09:29:21
41,dr_diaconescu_39,$2b$12$dY/qWrHD4nD7xwAz5UZxyOnJbsRH2zzTcyI0UKWCo4RZ2w.hSbB/S,dr.diaconescu.george_212@clinica.ro,medic,2025-10-14 06:18:02
42,dr_gheorghiu_40,$2b$12$j38xXMoMaw7H3VqicjcHn.08gQkHE1EClHGQmikfxxO3bBVEE78ee,dr.gheorghiu.evelina_476@clinica.ro,medic,2024-12-01 13:21:43
43,dr_tabacu_41,$2b$12$6YnoRpSZOl3mgUAb68qQS.EAQpHc2T3cKhtSn1MS9aIlMAX4rwKP2,dr.tabacu.henrieta_168@clinica.ro,medic,2024-03-28 21:47:05
